absynth,Absynth,absynth ,absynth absynthis absynthi absynthum,7
Achilles,Achilles,achill ,Achilles Achillis Achillem Achille,26
acies,acies,aci ,acierum aciebus aciem aciei acies acie,5
Adamus,Adam,adam ,Adamum Adamus Adam Adami Adamo,5
admisceo,admixtio,admisce ,admiscueris admiscebare admiscebatur admiscentes admiscerere admiscuisses admisceaturorum admiscuerat admixturos admisceature admiscuerit admiscebit admisceantur admiscereris admixtarum admiscendo admixtos admiscuissetis admisceremur admisceatur admisceto admiscendorum admiscere admisceatae admisceaveramus admiscenti admisceavissem admixturi admisceatu admiscuere admisceaverat admisceretis admisceati admiscete admiscebo admiscebas admisceato admisceaverit admisceam admiscueras admiscentis admisceaveris admisceaturis admisceat admiscebat admixte admiscerer admisceaverant admiscentibus admisceaturarum admisceatarum admiscuit admisce admiscebantur admiscuissent admiscebamus admisceavissent admisceor admisceatura admiscentor admisceaturos admixtis admisceavere admiscebitur admisceavissemus admisceavissetis admiscebimini admiscebam admiscende admisceas admixturorum admiscens admisceavisse admiscentium admisceaverint admiscuistis admiscetor admiscentur admiscebant admiscueritis admixtam admiscentum admisceremini admiscuissemus admiscebamini admiscetis admiscui admixtas admiscetote admisceremus admiscuisset admiscendos admiscebitis admiscebor admisceavistis admisceamur admisceatas admisceres admiscenda admixturam admisceaverimus admisceavit admisceaveras admisceavisset admisceaturo admiscuero admiscendus admisceant admiscerem admiscueratis admiscear admiscentem admisceaturum admixturo admiscendi admixtae admiscendae admiscebimur admiscueramus admiscueram admisceaverim admiscentia admisceaturus admisceaturas admiscet admixto admiscuisse admiscebatis admixtu admixtum admiscebar admisceaturam admiscuisti admiscebamur admisceavisti admixturae admixturas admixtorum admiscuimus admiscent admisceavimus admisceaturae admisceatis admiscendarum admiscebaris admiscuerant admisceavisses admixturum admixturis admiscente admiscebere admiscendam admisceret admixti admisceamus admiscebis admiscetur admiscuerunt admisceaveram admiscuerimus admisceatos admisceatam admiscebimus admisceate admiscuissem admisceberis admiscento admiscendas admiscendum admiscuerim admisceare admisceamini admisceaturi admixturus admixturarum admixtus admisceaveritis admisceatorum admiscendis admiscebunt admisceaverunt admisceo admixture admiscerent admisceretur admisceatus admixta admisceris admiscemini admisces admisceri admiscebuntur admiscuerint admisceatum admisceavero admiscerentur admiscemus admixtura admiscearis admisceavi admisceata admisceaveratis admiscemur,3
Adonis,Adonis,adon ,Adonis Adoni Adonim,21
aeger,aegritudo,aege ,aegerrimae aegerrimum aegram aegrior aegris aegrarum aegerrime aegro aegerrimarum aegrioribus aegrorum aegrioris aegriores aegriorem aegriorum aegerrimos aegriore aegri aegras aegerrimi aegerrimus aegerrimis aegra aegerrima aegerrimo aegerrimas aegros aegerrimorum aegerrimam aegriora aegrius aeger aegriori aegrum aegrae,143
aegyptus,aegyptus,aegypt ,Aegyptus Aegypti Aegyptum Aegypto Ægyptum Ægypti Ægyptus Ægyptiorum Aegyptiorum Aegyptio Ægyptiis Aegyptiis Ægyptii Ægyptiae Ægyptia Aegyptii Aegyptiae Aegyptia,24
aelia,Aelia,ael ,Aelia Aeliae Aeliam,7
aenigma,aenigma,aenigm ,aenigma aenigmatibus aenigmata aenigma aenigmati aenigmate aenigmatis aenigmatum,19
